,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000001039,164,172,140,377,318,258
ENSRNOG00000001040,93,80,82,302,185,172
ENSRNOG00000001043,125,124,126,284,230,155
ENSRNOG00000001044,128,133,112,328,259,184
ENSRNOG00000001047,80,88,85,279,291,182
ENSRNOG00000001048,17,16,24,44,33,33
ENSRNOG00000001049,12275.86,13032.59,12685.05,31636.66,30697.33,24525.31
ENSRNOG00000001050,715,682,610,2111,2033,1547
ENSRNOG00000001052,2647,2883,830,1942,1740,286
ENSRNOG00000001053,2374,2417,2295,10872,9914,7698
ENSRNOG00000001055,53,45,30,176,144,90
ENSRNOG00000001056,71,51,74,212,164,119
ENSRNOG00000001057,6,2,5,8,7,1
ENSRNOG00000001058,480,451,415,1235,1179,939
ENSRNOG00000001059,76,95,66,348,309,241
ENSRNOG00000001060,98,93,84,261,230,164
ENSRNOG00000001061,89,80,67,319,260,159
ENSRNOG00000001062,92.78,96.89,66.63,339.51,280.96,221.7
ENSRNOG00000001064,666,634,598,2054,1705,1279
ENSRNOG00000001065,69,72,64,258,250,187
ENSRNOG00000001066,8480,9939,7981,35680,29203,23483
ENSRNOG00000001068,1542,1597,1375,5592,4715,3852
ENSRNOG00000001069,470,464,452,1519,1446,1039
ENSRNOG00000001070,421,376,344,1241,1109,840
ENSRNOG00000001071,0,0,1.2,3.95,4.73,1.23
ENSRNOG00000001072,16,14,11,61,70,71
ENSRNOG00000001073,88,90,86,199,200,127
ENSRNOG00000001074,92,80,75,225,185,156
ENSRNOG00000001079,138,126,117,586,519,410
ENSRNOG00000001080,263,281,219,700,583,466
ENSRNOG00000001081,61,56,58,186,157,112
ENSRNOG00000001082,25,37,30,40,68,68
ENSRNOG00000001083,562,575,472,2380,2174,1784
ENSRNOG00000001086,260,308,241,487,874,430
ENSRNOG00000001088,50,65,39,137,120,120
ENSRNOG00000001090,284,221,232,1832,1599,1775
ENSRNOG00000001091,246,255,232,659,526,432
ENSRNOG00000001092,0,0,0,0,0,0
ENSRNOG00000001094,32,44,31,82,83,47
ENSRNOG00000001098,283,335,292,958,883,675
ENSRNOG00000001099,25,42,41,153,141,106
ENSRNOG00000001101,308,314,271,1287,1050,767
ENSRNOG00000001103,1,1,0,4,5,4
ENSRNOG00000001104,190.52,155.35,148.85,648.82,523.52,294.73
ENSRNOG00000001106,113,105,95,222,193,136
ENSRNOG00000001107,45.99,25,32.86,124.26,93.38,63.45
ENSRNOG00000001108,183,243,214,823,726,511
ENSRNOG00000001111,40,32,34,130,65,82
ENSRNOG00000001113,22,13,5,26,42,47
ENSRNOG00000001114,619,500,596,1424,1244,1017
ENSRNOG00000001115,18,7,12,86,71,18
ENSRNOG00000001117,34,37,39,148,144,116
ENSRNOG00000001120,309,265,282,945,980,671
ENSRNOG00000001123,127,89,101,221,236,178
ENSRNOG00000001124,2,0,1,9,5,2
ENSRNOG00000001126,404,443,347,1270,1368,804
ENSRNOG00000001128,1,0,0,2,0,4
ENSRNOG00000001129,678,471,464,502,509,416
ENSRNOG00000001130,10,5,6,44,119,89
ENSRNOG00000001134,66,91,56,369,246,223
ENSRNOG00000001135,305,262,278,1162,1187,916
ENSRNOG00000001136,2068,2235,1579,6601,7936,5636
ENSRNOG00000001138,248,290,260,1343,984,872
ENSRNOG00000001139,554,592,461,1507,1398,1173
ENSRNOG00000001141,0,0,0,0,0,0
ENSRNOG00000001142,495,352,276,3148,2751,1568
ENSRNOG00000001143,26,22,19,138,149,129
ENSRNOG00000001148,4907,4647,5137,13678,12069,8904
ENSRNOG00000001149,362,387,323,1953,1663,1308
ENSRNOG00000001151,70,101,58,128,150,109
ENSRNOG00000001152,0,0,0,0,0,0
ENSRNOG00000001153,0,0,0,0,1,0
ENSRNOG00000001156,2,2,0,14,16,2
ENSRNOG00000001157,0,0,0,0,0,0
ENSRNOG00000001158,523,337,312,612,309,242
ENSRNOG00000001159,4,4,1,10,6,4
ENSRNOG00000001160,253,304.66,233.7,819.57,786.33,586.92
ENSRNOG00000001161,224.31,312.31,226.34,727.28,876.39,700.82
ENSRNOG00000001162,0,0,0,0,0,0
ENSRNOG00000001163,99,95,71,450,435,309
ENSRNOG00000001164,0,0,0,0,0,0
ENSRNOG00000001165,0,1,0,1,0,0
ENSRNOG00000001167,0,0,1,5,4,1
ENSRNOG00000001169,20,17,24,96,57,55
ENSRNOG00000001170,2068,1974,1787,4566,4625,3511
ENSRNOG00000001171,329,358,264,624,650,532
ENSRNOG00000001172,1705,1860,1651,6170,5821,4449
ENSRNOG00000001173,52,50,38,216,243,171
ENSRNOG00000001174,1,0,1,8,6,2
ENSRNOG00000001177,2447,2702,2103,4114,4690,3101
ENSRNOG00000001178,254,289,260,1012,909,676
ENSRNOG00000001181,43,54,45,118,102,67
ENSRNOG00000001182,1097.64,1127.64,957.8,2608.55,2460.58,1964.3
ENSRNOG00000001183,316,335,306,1622,1362,915
ENSRNOG00000001184,197,193,174,586,595,400
ENSRNOG00000001185,156,118,141,409,360,264
ENSRNOG00000001187,8,5,20,145,73,84
ENSRNOG00000001189,311,212,230,801,724,623
ENSRNOG00000001190,215,207,188,870,650,539
ENSRNOG00000001191,83,77,72,280,242,146
ENSRNOG00000001192,40,38,43,246,219,137
ENSRNOG00000001193,3,5,5,5,4,4
ENSRNOG00000001194,226,153,157,396,363,286
ENSRNOG00000001195,7,8,6,9,9,3
ENSRNOG00000001198,5,10,6,20,26,14
ENSRNOG00000001199,154,182,135,401,325,246
ENSRNOG00000001201,264,211,206,868,667,460
ENSRNOG00000001203,238,257,205,475,475,392
ENSRNOG00000001204,497,503,476,2502,2256,1849
ENSRNOG00000001205,1002,1132,780,2355,1980,1597
ENSRNOG00000001210,246,237,205,398,353,254
ENSRNOG00000001211,985,988,928,2535,2542,1766
ENSRNOG00000001212,0,0,1,0,0,0
ENSRNOG00000001213,0,0,0,0,0,0
ENSRNOG00000001214,447,442,397,1243,1480,898
ENSRNOG00000001215,97,117,111,278,276,158
ENSRNOG00000001216,266,178,165,1686,1657,851
ENSRNOG00000001217,0,1,0,4,5,5
ENSRNOG00000001218,0,0,0,0,0,0
ENSRNOG00000001219,0,2,0,0,1,1
ENSRNOG00000001220,0,0,0,0,0,0
ENSRNOG00000001222,354,427,382,1337,1120,875
ENSRNOG00000001223,2735,3253,2464,10026,11167,8355
ENSRNOG00000001224,85,85,105,1377,836,596
ENSRNOG00000001225,112,132,142,362,276,195
ENSRNOG00000001226,0,0,0,0,0,0
ENSRNOG00000001227,193,186,148,450,620,455
ENSRNOG00000001228,103,143,127,533,475,317
ENSRNOG00000001229,4983,4709,4811,27285,24757,18491
ENSRNOG00000001232,94,97,90,300,271,183
ENSRNOG00000001235,1392,1321,1369,7355,8388,6160
ENSRNOG00000001236,141,155,142,459,351,254
ENSRNOG00000001237,206,209,198,815,667,490
ENSRNOG00000001238,340,302,278,898,798,630
ENSRNOG00000001239,2443,3179,2218,9566,9181,8513
ENSRNOG00000001241,16,10,5,82,69,30
ENSRNOG00000001242,515,5231,2661,2275,2100,2874
ENSRNOG00000001243,187,172,187,683,632,483
ENSRNOG00000001245,11,8,14,63,46,38
ENSRNOG00000001247,595,686,536,1690,1680,1582
ENSRNOG00000001249,365,294,339,1380,1489,869
ENSRNOG00000001250,19,9,12,153,94,77
ENSRNOG00000001251,0,0,0,0,0,0
ENSRNOG00000001252,12,9,6,84,54,37
ENSRNOG00000001253,1045,1244,1013,2919,3023,2447
ENSRNOG00000001254,332,293,313,1402,1216,782
ENSRNOG00000001255,187,215,177,404,391,277
ENSRNOG00000001256,529,545,520,1575,1695,1271
ENSRNOG00000001258,152,179,152,499,468,323
ENSRNOG00000001259,3,5,11,133,27,33
ENSRNOG00000001260,16,12,13,31,39,40
ENSRNOG00000001261,1814,1824,1373,7883,11463,8059
ENSRNOG00000001262,3,2,4,3,7,3
ENSRNOG00000001265,120,162,111,765,638,459
ENSRNOG00000001269,836,848,733,3295,2974,2205
ENSRNOG00000001270,8.3,2.17,3.25,70.66,36.12,26.14
ENSRNOG00000001271,722,748,610,2494,2074,1642
ENSRNOG00000001272,409,427,416,1369,1183,855
ENSRNOG00000001273,151,102,98,201,300,222
ENSRNOG00000001274,434,390,348,1149,1006,842
ENSRNOG00000001275,102,93,80,188,205,94
ENSRNOG00000001276,106,152,118,485,449,309
ENSRNOG00000001277,208,202,178,577,425,309
ENSRNOG00000001278,101,98,78,331,273,197
ENSRNOG00000001283,144,169,155,401,326,226
ENSRNOG00000001284,0,0,0,0,0,0
ENSRNOG00000001285,2420,2712,2713,10839,11191,7225
ENSRNOG00000001287,0,0,0,1,0,2
ENSRNOG00000001288,304,281,185,1178,609,370
ENSRNOG00000001289,78,57,54,208,215,100
ENSRNOG00000001293,322,274,227,783,740,569
ENSRNOG00000001294,26,45,34,92,67,60
ENSRNOG00000001295,0,3,1,4,8,5
ENSRNOG00000001296,473,543,431,2988,2135,1556
ENSRNOG00000001297,48,46,48,126,129,68
ENSRNOG00000001298,0,0,0,0,0,0
ENSRNOG00000001299,167,165,137,554,417,320
ENSRNOG00000001300,328,452,261,1350,947,740
ENSRNOG00000001302,69,52,60,268,206,143
ENSRNOG00000001303,261,253,181,894,892,545
ENSRNOG00000001304,224,167,131,671,624,462
ENSRNOG00000001309,15,18,13,79,95,59
ENSRNOG00000001311,0,0,0,0,0,1
ENSRNOG00000001312,29,22,17,76,55,35
ENSRNOG00000001313,1,0,0,1,3,4
ENSRNOG00000001314,421,370,305,1624,1301,951
ENSRNOG00000001315,0,0,0,0,0,0
ENSRNOG00000001316,1468,1476,1244,4080,4157,3134
ENSRNOG00000001317,283,288,248,1236,1265,782
ENSRNOG00000001323,57,67,49,215,140,130
ENSRNOG00000001324,0,1,2.06,1,1.01,0
ENSRNOG00000001325,27,16,17,171,143,87
ENSRNOG00000001329,19,31,32,81,51,31
ENSRNOG00000001331,53,53,48,190,156,130
ENSRNOG00000001333,6423,7083,6136,27117,29019,20121
ENSRNOG00000001335,291,226,245,644,536,441
ENSRNOG00000001336,113,149,89,539,482,436
ENSRNOG00000001337,307,291,274,1362,1098,926
ENSRNOG00000001338,10994,11778,10248,38953,39429,37531
ENSRNOG00000001339,232,206,199,709,679,659
ENSRNOG00000001341,39,27,35,102,76,51
ENSRNOG00000001342,0,0,1,1,1,0
ENSRNOG00000001344,5624,6476,4939,36920,39993,27054
ENSRNOG00000001345,276,298,238,693,637,536
ENSRNOG00000001346,454,501,397,1425,1388,1052
ENSRNOG00000001347,56.69,63.4,32.24,82,98,45.22
ENSRNOG00000001348,616,710,564,2684,2964,1745
ENSRNOG00000001349,154,174,128,638,429,301
ENSRNOG00000001350,234,240,194,463,433,359
ENSRNOG00000001351,404,362,301,1627,779,645
ENSRNOG00000001352,242,263,248,1065,1016,680
ENSRNOG00000001353,69,59,57,213,176,125
ENSRNOG00000001355,176,176,149,580,589,447
ENSRNOG00000001357,40,29,31,149,115,73
ENSRNOG00000001360,0,0,0,2,1,2
ENSRNOG00000001367,3,0,2,13,8,8
ENSRNOG00000001368,0,0,0,0,0,0
ENSRNOG00000001369,23,14,37,497.67,324.08,224.87
ENSRNOG00000001374,1,0,0,5.76,2,1
ENSRNOG00000001375,5,2,0,8,7,3
ENSRNOG00000001376,1408,954,909,2072,2711,1710
ENSRNOG00000001377,368,353,378,1206,1152,831
ENSRNOG00000001378,1,0,0,1,0,1
ENSRNOG00000001379,45,33,52,482,340,271
ENSRNOG00000001383,249,226,204,1256,882,686
ENSRNOG00000001385,1327,1404,1220,5613,5048,3692
ENSRNOG00000001387,180.95,238.53,130.51,676.82,648.13,359.18
ENSRNOG00000001388,207,301,110,968,519,216
ENSRNOG00000001389,51,86,52,84,215,260
ENSRNOG00000001391,107,131,115,328,319,276
ENSRNOG00000001392,0,0,0,0,0,0
ENSRNOG00000001396,382,382,295,1318,1148,878
ENSRNOG00000001397,118,126,86,351,299,270
ENSRNOG00000001399,0,0,0,0,0,0
ENSRNOG00000001402,281,285,310,1059,1085,743
ENSRNOG00000001404,344.13,315.05,332.87,1365.01,1089.51,928.1
ENSRNOG00000001407,3434,3848,3898,14769,12385,7921
ENSRNOG00000001408,0,0,0,1,0,0
ENSRNOG00000001409,892,984,813,3019,2675,1914
ENSRNOG00000001410,237,254,192,905,895,608
ENSRNOG00000001412,0,0,0,0,1,1
ENSRNOG00000001414,20,27,22,28,67,12
ENSRNOG00000001415,485,490,415,1292,1131,786
ENSRNOG00000001416,0,0,0,0,0,0
ENSRNOG00000001417,301.5,290.28,261.43,1377.7,1525.54,711.53
ENSRNOG00000001418,127.5,115.72,103.57,309.3,330.46,204.47
ENSRNOG00000001419,4,4,3,17,11,6
ENSRNOG00000001420,298,349,286,1031,950,711
ENSRNOG00000001422,0,0,0,1,0,2
ENSRNOG00000001424,137,157,109,404,436,290
ENSRNOG00000001425,22,9,13,95,59,47
ENSRNOG00000001426,123,128,84,367,354,258
ENSRNOG00000001427,15,8,9,82,63,40
ENSRNOG00000001428,20,27,29,99,73,49
ENSRNOG00000001429,129,124,128,478,411,304
ENSRNOG00000001430,247,230,235,650,627,439
ENSRNOG00000001431,13,15,19,123,49,56
ENSRNOG00000001432,48,36,41,182,158,126
ENSRNOG00000001434,0,0,1,1,5,0
ENSRNOG00000001435,3,6,5,11,18,10
ENSRNOG00000001436,1474,1386,1272,3262,3296,2143
ENSRNOG00000001439,0,0,0,0,0,0
ENSRNOG00000001440,2403,2800,2293,6229,6960,4839
ENSRNOG00000001441,488,569,457,543,445,346
ENSRNOG00000001442,3212,3761,3506,3391,2620,2227
ENSRNOG00000001443,267,371,448,261,112,133
ENSRNOG00000001444,1,2,0,1,0,0
ENSRNOG00000001448,109,109,124,798,809,467
ENSRNOG00000001449,330,297,284,983,898,585
ENSRNOG00000001450,92,94,91,203,192,161
ENSRNOG00000001451,0,0,0,0,0,0
ENSRNOG00000001452,0,0,0,2,2,1
ENSRNOG00000001453,819,774,786,2696,2220,1433
ENSRNOG00000001454,1728,1646,1530,5017,4502,3502
ENSRNOG00000001455,299,284,289,1113,1048,871
ENSRNOG00000001456,513,478,443,1464,1425,976
ENSRNOG00000001457,86,90,70,262,199,175
ENSRNOG00000001465,73,83,79,286,290,193
ENSRNOG00000001466,29,25,32,36.94,6,10
ENSRNOG00000001469,272,199,133,713,871,870
ENSRNOG00000001470,59,61,48,174,111,94
ENSRNOG00000001474,0,0,0,0,0,0
ENSRNOG00000001476,7,4,6,13,24,13
ENSRNOG00000001478,91.74,143.61,133.48,602.72,436.28,365.51
ENSRNOG00000001479,1237,1252,1057,4603,4830,3404
ENSRNOG00000001480,36,24,34.87,613.4,244.11,211
ENSRNOG00000001482,46,51,29,75,87,51
ENSRNOG00000001483,159,198,146,534,590,391
ENSRNOG00000001484,10,13,6,43,61,45
ENSRNOG00000001488,1547,1577,1371,3466,3251,2370
ENSRNOG00000001489,61,66,54,203,150,104
ENSRNOG00000001490,144,138,124,307,290,265
ENSRNOG00000001492,0,0,0,1,1,2
ENSRNOG00000001493,147,109,121,444,447,263
ENSRNOG00000001494,735,989,751,2228,2285,1703
ENSRNOG00000001499,1,0,0,1,1,0
ENSRNOG00000001500,50,44,55,345,257,167
ENSRNOG00000001501,59,82,73,226,181,126
ENSRNOG00000001506,1,0,1,4,2,1
ENSRNOG00000001510,0,0,0,0,0,0
ENSRNOG00000001512,0,0,0,0,0,0
ENSRNOG00000001514,72,84,73,74,57,36
ENSRNOG00000001515,83,76,86,348,213,186
ENSRNOG00000001516,670,836,718,1842,1345,1129
ENSRNOG00000001517,478,507,490,1239,1261,1110
ENSRNOG00000001518,374,319,274,1079,1479,955
ENSRNOG00000001519,0,0,0,0,0,0
ENSRNOG00000001520,1,0,0,2,0,0
ENSRNOG00000001524,163,184,136,508,364,305
ENSRNOG00000001525,289,336,268,1463,1175,1161
ENSRNOG00000001527,2,3,0,10,8,8
ENSRNOG00000001528,0,1,1,0,0,0
ENSRNOG00000001531,120,119,111,540,426,367
ENSRNOG00000001544,46,120,90,354,456,428
ENSRNOG00000001547,62,64,59,179,138,104
ENSRNOG00000001548,948,697,637,4853,3363,3543
ENSRNOG00000001551,1072,1078,921,2499,2471,1781
ENSRNOG00000001554,49,50,34,235,224,231
ENSRNOG00000001555,15,25,20,75,58,59
ENSRNOG00000001557,270,307,258,837,931,689
ENSRNOG00000001559,331,334,333,836,713,565
ENSRNOG00000001566,0,0,0,0,0,0
ENSRNOG00000001567,0,0,0,0,0,0
ENSRNOG00000001570,0,0,0,0,0,0
ENSRNOG00000001571,2,2,0,5,4,5
ENSRNOG00000001572,0,0,0,0,0,0
ENSRNOG00000001573,373.69,342.64,314.81,1615,1466.52,1075.45
ENSRNOG00000001575,0,0,0,0,0,0
ENSRNOG00000001577,0,0,0,0,0,0
ENSRNOG00000001578,0,0,0,2,0,0
ENSRNOG00000001580,0,0,0,0,0,0
ENSRNOG00000001581,0,0,0,0,0,0
ENSRNOG00000001582,180.98,241.48,228.1,1003.51,977.5,831.47
ENSRNOG00000001584,7,9,8,35,30,35
ENSRNOG00000001585,262,321,273,1380,1599,1238
ENSRNOG00000001587,0,0,0,0,0,0
ENSRNOG00000001588,0,0,0,0,0,0
ENSRNOG00000001589,0,0,0,0,0,0
ENSRNOG00000001592,1242.84,1428.62,1308.56,3052.01,2844.48,2121.72
ENSRNOG00000001593,33,26,30,94,87,58
ENSRNOG00000001596,3513,4014,3184,7990,7138,6035
ENSRNOG00000001597,180,201,159,632,535,455
ENSRNOG00000001598,431.16,391.38,429.44,1390.99,1141.52,972.28
ENSRNOG00000001599,243,264,195,917,877,785
ENSRNOG00000001601,0,0,0,0,0,0
ENSRNOG00000001602,774,744,762,2560,2236,1722
ENSRNOG00000001603,65,98,77,185,201,170
ENSRNOG00000001607,99,135,93,540,1029,788
ENSRNOG00000001608,2,2,4,24,16,11
ENSRNOG00000001609,25,22,15,98,89,75
ENSRNOG00000001611,1383,1424,1442,3384.99,2920,2258
ENSRNOG00000001613,322,287,250,769,729,448
ENSRNOG00000001616,110,120,99,371,330,266
ENSRNOG00000001618,341,283,282,893,657,412
ENSRNOG00000001620,107,76,94,313,298,214
ENSRNOG00000001621,369,399,306,2898,3037,2110
ENSRNOG00000001622,1,0,0,1,9,6
ENSRNOG00000001623,212,291,229,616,794,510
ENSRNOG00000001627,48,54,43,216,171,166
ENSRNOG00000001628,0,0,1,3,1,1
ENSRNOG00000001629,109,109,85,277,276,206
ENSRNOG00000001632,310,333,327,1047,788,813
ENSRNOG00000001633,488,571,422.96,1899.78,1915,1398.34
ENSRNOG00000001634,0,0,0,0,4,0
ENSRNOG00000001640,658.51,679.81,609.97,1618.6,1516.53,1183.05
ENSRNOG00000001642,283,318,267,1064,989,786
ENSRNOG00000001643,530,472,463,1148,1201,788
ENSRNOG00000001644,0,0,0,0,0,2
ENSRNOG00000001645,50,30,57,271,250,218
ENSRNOG00000001647,507,454,484,1593,1145,960
ENSRNOG00000001652,74,53,52,218,192,188
ENSRNOG00000001653,1040,1268,1042,2481,2396,2328
ENSRNOG00000001654,881,827,835,2712,2726,2270
ENSRNOG00000001656,0,1,3,13,31,30
ENSRNOG00000001657,323,317,309,940,834,587
ENSRNOG00000001658,0,0,0,0,0,0
ENSRNOG00000001662,256,232,196,915,961,688
ENSRNOG00000001675,0,0,0,0,0,0
ENSRNOG00000001679,15,17,3,7,4,0
ENSRNOG00000001680,76.77,60.9,68.76,113.28,103.3,86.64
ENSRNOG00000001681,287,264,237,807,699,535
ENSRNOG00000001682,336,327,265,713,689,627
ENSRNOG00000001684,2,1,2,11,4,4
ENSRNOG00000001686,201,279,196,380,305,222
ENSRNOG00000001687,40,44,50,125,97,73
ENSRNOG00000001689,81,63,59,160,120,113
ENSRNOG00000001691,73,69,56,495,327,291
ENSRNOG00000001692,11,6,4,36,31,13
ENSRNOG00000001699,134,116,131,340,249,229
ENSRNOG00000001700,35,47,35,169,186,111
ENSRNOG00000001701,14,0,1,22,23,18
ENSRNOG00000001704,7,2,4,26,14,7
ENSRNOG00000001706,297,329,241,661,860,483
ENSRNOG00000001707,4,1,1,5,4,7
ENSRNOG00000001708,339,261,245,1196,1115,820
ENSRNOG00000001709,1005,1123,944,3687,3036,2215
ENSRNOG00000001710,482,574,492,1697,1518,1097
ENSRNOG00000001711,0,4,1,95,29,3
ENSRNOG00000001712,229,233,213,662,612,477
ENSRNOG00000001713,683.39,769.5,794.86,3981.87,2328.02,2335.27
ENSRNOG00000001714,0,0,0,0,0,0
ENSRNOG00000001715,2,1,0,4,4,5
ENSRNOG00000001717,770,819,719,2255,2150,1712
ENSRNOG00000001719,2626,2840,2610,6006,5668,4164
ENSRNOG00000001720,261,165,221,608,386,283
ENSRNOG00000001724,30.66,33,26.95,78.79,88,71.44
ENSRNOG00000001726,2,0,1,5,13,4
ENSRNOG00000001727,192,167,181,505,428,305
ENSRNOG00000001728,31.54,50.64,20,198.64,124.57,114
ENSRNOG00000001729,19,22,16,63,53,55
ENSRNOG00000001730,202,218,228,750,644,486
ENSRNOG00000001733,412,365,282,1134,1173,870
ENSRNOG00000001736,4223,5864,4332,12778,13003,9995
ENSRNOG00000001738,3885.34,4226.59,3543.11,15437.76,14538.21,10401.53
ENSRNOG00000001739,0,0,0,0,0,0
ENSRNOG00000001742,102.02,86.59,98.92,341.26,323.52,178.74
ENSRNOG00000001746,272.15,310.85,267.25,1090.94,925.11,771.36
ENSRNOG00000001747,631,632,495,2148,1847.97,1510
ENSRNOG00000001748,99.93,83,65,225,169.96,125
ENSRNOG00000001750,220,179,233,936,862,581
ENSRNOG00000001752,61,57,57,570,365,205
ENSRNOG00000001754,43,49,38,143,108,97
ENSRNOG00000001756,0,21.25,7.27,43.22,42.24,4.81
ENSRNOG00000001757,1,1,0,2,13,0
ENSRNOG00000001758,19,13,8,35,33,20
ENSRNOG00000001762,883.79,952.96,759,1913.88,1703.82,1372.75
ENSRNOG00000001764,199,214,195,497,385,336
ENSRNOG00000001765,2,0,1,3,2,2
ENSRNOG00000001766,981,1057,844,2885,4279,3683
ENSRNOG00000001767,2,2,3,16,23,17
ENSRNOG00000001769,116,97,94,314,295,180
ENSRNOG00000001770,285067,317489,250025,7648,11913,8110
ENSRNOG00000001773,134,138,121,436,417,361
ENSRNOG00000001774,52,39,54,197,179,150
ENSRNOG00000001776,1,0,0,1,4,1
ENSRNOG00000001777,0,0,0,1,8,3
ENSRNOG00000001781,16,7,9,32,34,8
ENSRNOG00000001782,753,590,599,1839,1901,1457
ENSRNOG00000001783,697.97,708.95,596.97,2103.89,2150.91,1533.9
ENSRNOG00000001785,26,19,27,328,148,98
ENSRNOG00000001786,260,271,257,998,868,698
ENSRNOG00000001789,199,151,175,617,542,434
ENSRNOG00000001792,3,3,4,1,1,3
ENSRNOG00000001793,238,257,233,916,851,707
ENSRNOG00000001794,1,2,0,19,1,0
ENSRNOG00000001795,930,869,683,2623,2973,1730
ENSRNOG00000001796,3,2,2,27,21,11
ENSRNOG00000001797,580,618,486,1182,923,705
ENSRNOG00000001803,632,699,641,3307,3936,2347
ENSRNOG00000001804,145,230,266,1573,795,786
ENSRNOG00000001806,15566,13722,10225,113298,142483,99190
ENSRNOG00000001807,4,3,4,10,17,6
ENSRNOG00000001808,188,220,201,702,644,503
ENSRNOG00000001809,10853,7141,5335,43057,81748,55669
ENSRNOG00000001811,318,312,274,1082,977,782
ENSRNOG00000001813,251,240,243,686,627,473
ENSRNOG00000001815,2626,2753,2649,5367,4891,3477
ENSRNOG00000001816,67,40,40,159,136,119
ENSRNOG00000001817,169,225,242,965,528,589
ENSRNOG00000001820,77,79,90,201,267,176
ENSRNOG00000001821,0,0,0,0,1,1
ENSRNOG00000001823,3985,4621,4466,34344,26026,20107
ENSRNOG00000001825,134,134,131,286,195,128
ENSRNOG00000001827,914,983,1146,5704,4736,3628
ENSRNOG00000001828,194,206,167,740,680,607
ENSRNOG00000001829,289,338,337,710,726,574
ENSRNOG00000001830,0,7,4,202,70,111
ENSRNOG00000001833,103.92,129,73.55,534.98,283.98,216.98
ENSRNOG00000001834,59,67,44,174,147,110
ENSRNOG00000001837,0,0,0,0,0,0
ENSRNOG00000001839,0,0,0,0,0,2
ENSRNOG00000001840,1,1,2,0,0,7
ENSRNOG00000001842,326,221,318,650,797,560
ENSRNOG00000001843,28,51,175,276,359,1638
ENSRNOG00000001844,127,128,126,339,289,206
ENSRNOG00000001845,303,338,227,1120,813,798
ENSRNOG00000001847,237,267,202,764,684,609
ENSRNOG00000001849,389,375,374,1057,920,727
ENSRNOG00000001851,7,7,11,4,10,10
ENSRNOG00000001852,662,732,658,1301,1152,885
ENSRNOG00000001854,9,6,8,57,30,20
ENSRNOG00000001858,0,0,0,1,1,0
ENSRNOG00000001859,91,129,125,1942,1782,964
ENSRNOG00000001860,0,0,0,0,0,0
ENSRNOG00000001861,5,3,2,2,3,0
ENSRNOG00000001862,940,1016,834,3206,3181,2519
ENSRNOG00000001864,2,0,1,0,2,2
ENSRNOG00000001865,5728,6191,4973,27260,24486,20933
ENSRNOG00000001867,541,483,537,1727,1734,1242
ENSRNOG00000001868,392,411.02,362.53,1406.93,1447.53,999.46
ENSRNOG00000001869,1,1,0,0,1,1
ENSRNOG00000001870,301,282,246,1090,986,656
ENSRNOG00000001872,0,0,0,0,0,0
ENSRNOG00000001873,0,0,0,0,0,0
ENSRNOG00000001874,38,13,24,41,29,22
ENSRNOG00000001875,242,225,200,628,652,500
ENSRNOG00000001876,0,0,0,1,0,0
ENSRNOG00000001877,351,341,361,1453,1271,856
ENSRNOG00000001878,227,269,224,657,523,417
ENSRNOG00000001880,150,157,140,455,485,384
ENSRNOG00000001884,247,182,204,653,513,433
ENSRNOG00000001885,182,208,185,536,483,324
ENSRNOG00000001886,193,199,161,596,537,448
ENSRNOG00000001888,252,242,226,1342,1130,780
ENSRNOG00000001889,9476.95,5983.95,5717.94,24742.85,38059.83,30289.9
ENSRNOG00000001890,314.05,278.05,239.06,766.15,867.17,708.1
ENSRNOG00000001891,34,19,9,35,26,24
ENSRNOG00000001892,0,0,0,0,2,1
ENSRNOG00000001893,637.88,769.31,577,1785,1776.11,1287.85
ENSRNOG00000001908,11,15,4,99,48,55
ENSRNOG00000001911,0,0,0,0,0,0
ENSRNOG00000001912,0,0,0,0,0,0
ENSRNOG00000001915,7,3,8,85,26,32
ENSRNOG00000001916,0,0,0,12,0,0
ENSRNOG00000001923,0,0,0,0,0,0
ENSRNOG00000001924,0,0,0,0,0,0
ENSRNOG00000001926,609,645,701,2562,2471,1980
ENSRNOG00000001928,246,255,259,1722,1656,1055
ENSRNOG00000001930,81,79,73,297,240,217
ENSRNOG00000001931,0,5,2,15,8,9
ENSRNOG00000001942,0,0,0,0,0,0
ENSRNOG00000001943,0,1,2,2,1,1
ENSRNOG00000001945,0,0,0,0,0,0
ENSRNOG00000001949,0,0,0,0,0,0
ENSRNOG00000001950,0,0,0,0,0,0
ENSRNOG00000001951,0,0,0,0,0,1
ENSRNOG00000001953,41,36,33,172,200,118
ENSRNOG00000001955,0,0,0,0,0,0
ENSRNOG00000001956,27,32,42,80,57,49
ENSRNOG00000001957,14395,14204,11820,44678,66377,45948
ENSRNOG00000001958,189,169,131,231,240,168
ENSRNOG00000001959,47.47,18,82.28,506.85,241.16,237.3
ENSRNOG00000001960,0,0,1,1,2,0
ENSRNOG00000001962,0,0,0,1,0,0
ENSRNOG00000001963,116.53,43,157.72,1319.15,659.84,597.7
ENSRNOG00000001964,858,706,603,2234,1581,1161
